PacketCounter;Acc_X;Acc_Y;Acc_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3;label
5003;-2.621742;7.985562;1.187849;0.613999;-1.48428;-1.477605;0.09373;-0.317355;-0.34188;0.490234;-0.838135;0.335205;0.661261;0.61101;0.381079;0.210187;POINTING
5004;-2.632628;7.55156;1.209031;0.553976;-1.553702;-1.894506;0.230466;-0.381994;-0.40499;0.501953;-0.841797;0.334473;0.661695;0.611344;0.381369;0.207304;POINTING
5005;-2.675915;7.548757;1.011623;0.415296;-1.428307;-1.878268;0.34336;-0.445227;-0.423773;0.506104;-0.834717;0.32959;0.661933;0.612124;0.381543;0.203899;POINTING
5006;-2.720391;8.04916;0.735788;0.336314;-1.176677;-1.372717;0.435616;-0.4916;-0.38259;0.518311;-0.834229;0.338867;0.661919;0.613275;0.381599;0.200349;POINTING
5007;-2.85781;8.58227;0.487001;0.223546;-1.00732;-0.812974;0.473636;-0.51115;-0.305767;0.515381;-0.823486;0.328857;0.661746;0.61476;0.381314;0.196878;POINTING
5008;-2.907414;8.890161;0.382613;0.221399;-0.921549;-0.499468;0.449332;-0.532509;-0.242196;0.523193;-0.821045;0.335205;0.661614;0.616246;0.380807;0.193632;POINTING
5009;-2.929588;8.967437;0.342868;0.225657;-0.89855;-0.418189;0.390598;-0.55243;-0.223386;0.518799;-0.819336;0.322266;0.661677;0.617638;0.380042;0.19046;POINTING
5010;-2.939173;8.885059;0.241913;0.159391;-0.838338;-0.489959;0.339454;-0.565456;-0.267198;0.529785;-0.806641;0.328613;0.661961;0.618727;0.379379;0.187231;POINTING
5011;-2.869937;8.673488;0.018072;0.039053;-0.644389;-0.699542;0.277439;-0.586863;-0.365072;0.536865;-0.813721;0.325195;0.662556;0.619492;0.378822;0.183694;POINTING
5012;-2.77417;8.497888;-0.288186;-0.102141;-0.353756;-0.876389;0.220524;-0.596763;-0.484118;0.537842;-0.801514;0.324219;0.663454;0.619789;0.378605;0.179859;POINTING
5013;-2.727632;8.575438;-0.539137;-0.174595;-0.091422;-0.799935;0.175198;-0.568767;-0.558642;0.552002;-0.794189;0.320801;0.664487;0.619813;0.378602;0.175924;POINTING
5014;-2.790612;8.847812;-0.789135;-0.270885;0.135916;-0.506673;0.145345;-0.518932;-0.567183;0.560791;-0.796387;0.310547;0.665527;0.619614;0.378821;0.172184;POINTING
5015;-3.013611;9.280476;-0.92389;-0.364779;0.197922;-0.020334;0.180388;-0.461595;-0.502425;0.558594;-0.789795;0.305664;0.666274;0.61965;0.378993;0.168754;POINTING
5016;-3.204967;9.612165;-1.131014;-0.506832;0.315821;0.365128;0.222766;-0.401563;-0.398401;0.574951;-0.778564;0.307861;0.666712;0.619916;0.379104;0.165766;POINTING
5017;-3.263856;9.694602;-1.337367;-0.620923;0.470846;0.47416;0.207234;-0.355424;-0.319319;0.57666;-0.771973;0.302734;0.667009;0.620288;0.379078;0.163221;POINTING
5018;-3.272082;9.831067;-1.522118;-0.673189;0.647665;0.61806;0.169409;-0.305127;-0.280683;0.574707;-0.776611;0.302979;0.667328;0.620516;0.379099;0.160987;POINTING
5019;-3.288754;9.87335;-1.614039;-0.700935;0.729601;0.669696;0.173625;-0.230814;-0.262779;0.587891;-0.765625;0.301025;0.667441;0.620775;0.379282;0.159079;POINTING
5020;-3.329047;9.821334;-1.668397;-0.747088;0.750351;0.637358;0.206851;-0.167476;-0.241076;0.590332;-0.760986;0.303711;0.667347;0.621093;0.379656;0.157331;POINTING
5021;-3.343653;9.683594;-1.550799;-0.691977;0.633423;0.506075;0.223573;-0.134942;-0.216433;0.588867;-0.763916;0.305908;0.667081;0.621527;0.380052;0.155779;POINTING
5022;-3.229763;9.693172;-1.485957;-0.535094;0.654412;0.477228;0.258576;-0.142876;-0.177525;0.587646;-0.757812;0.298584;0.66672;0.62212;0.380356;0.154212;POINTING
5023;-2.968027;9.83615;-1.484948;-0.272037;0.824768;0.531865;0.350578;-0.117807;-0.122635;0.594238;-0.751953;0.30127;0.66595;0.623138;0.380613;0.152784;POINTING
5024;-2.805928;10.03067;-1.655716;-0.171735;1.065397;0.678464;0.409026;-0.04201;-0.038472;0.592529;-0.748535;0.304932;0.66482;0.624424;0.380912;0.151707;POINTING
5025;-2.784292;10.498949;-1.961094;-0.180403;1.353846;1.13996;0.408308;0.033196;0.035619;0.598877;-0.754395;0.306152;0.663457;0.625816;0.381219;0.151165;POINTING
5026;-2.784904;10.748172;-2.143805;-0.19638;1.494386;1.394581;0.385838;0.122958;0.077895;0.589844;-0.747314;0.309326;0.661982;0.627128;0.381677;0.151038;POINTING
5027;-2.996897;10.749452;-2.133862;-0.323987;1.310654;1.468377;0.438535;0.265094;0.135193;0.589844;-0.74292;0.310791;0.66;0.628629;0.382459;0.151493;POINTING
5028;-3.340005;10.460313;-2.184396;-0.673368;1.043979;1.313933;0.452598;0.356848;0.226124;0.59082;-0.751709;0.324951;0.65774;0.630268;0.383266;0.152469;POINTING
5029;-3.646832;10.26062;-2.257204;-0.992274;0.82052;1.233417;0.406745;0.397859;0.316603;0.587646;-0.743652;0.325928;0.655455;0.6319;0.383883;0.153997;POINTING
5030;-3.719019;10.359386;-2.196731;-0.978976;0.673247;1.348028;0.33224;0.36645;0.381551;0.582764;-0.746826;0.335205;0.65342;0.633426;0.384133;0.155742;POINTING
5031;-3.549868;10.429101;-1.855676;-0.634652;0.4572;1.331778;0.244043;0.328336;0.399711;0.577881;-0.747803;0.325684;0.651706;0.634726;0.384127;0.157632;POINTING
5032;-3.241783;10.637333;-1.38195;-0.070616;0.246301;1.390251;0.214977;0.33911;0.417266;0.571045;-0.750732;0.336914;0.650057;0.635953;0.384069;0.159623;POINTING
